Town,Designation,Date,Land area,Population,Form of,County,Council of Governments,Native American
andover,Town,1848,15.46,"3,303",Town meeting,Tolland County,Capitol Region,
ansonia,City,1889,6.03,"19,249",Mayor-council,New Haven County,Naugatuck Valley,
ashford,Town,1714,38.79,"4,100",Town meeting,Windham County,Northeast CT,
avon,Town,1830,23.12,"18,098",Council-manager,Hartford County,Capitol Region,
barkhamsted,Town,1779,36.22,"3,620",Town meeting,Litchfield County,Northwest Hills,
beacon falls,Town,1871,9.78,"6,049",Town meeting,New Haven County,Naugatuck Valley,
berlin,Town,1785,26.45,"19,866",Council-manager,Hartford County,Capitol Region,
bethany,Town,1832,20.97,"5,563",Town meeting,New Haven County,South Central,
bethel,Town,1855,16.79,"18,584",Town meeting,Fairfield County,Western CT,
bethlehem,Town,1787,19.36,"3,607",Town meeting,Litchfield County,Naugatuck Valley,
bloomfield,Town,1835,26.01,"20,486",Council-manager,Hartford County,Capitol Region,
bolton,Town,1720,14.41,"4,980",Town meeting,Tolland County,Capitol Region,
bozrah,Town,1786,19.97,"2,627",Town meeting,New London County,South Centraleastern CT,
branford,Town,1685,21.98,"28,026",Representative town meeting,New Haven County,South Central,Totoket
bridgeport,City,1821,16.0,"144,229",Mayor-council,Fairfield County,CT Metropolitan,Pequonock
bridgewater,Town,1856,16.23,"1,727",Town meeting,Litchfield County,Western CT,
bristol,City,1785,26.51,"60,477",Mayor-council,Hartford County,Naugatuck Valley,
brookfield,Town,1788,19.8,"16,452",Town meeting,Fairfield County,Western CT,
brooklyn,Town,1786,28.97,"8,210",Town meeting,Windham County,Northeast CT,
burlington,Town,1806,29.8,"9,301",Town meeting,Hartford County,Northwest Hills,
canaan,Town,1739,32.95,"1,234",Town meeting,Litchfield County,Northwest Hills,
canterbury,Town,1703,39.9,"5,132",Town meeting,Windham County,Northeast CT,Peagscomsueck
canton,Town,1806,24.57,"10,292",Town meeting,Hartford County,Capitol Region,
chaplin,Town,1822,19.43,"2,305",Town meeting,Windham County,Northeast CT,
cheshire,Town,1780,32.91,"29,261",Council-manager,New Haven County,Naugatuck Valley,
chester,Town,1836,16.03,"3,994",Town meeting,Middlesex County,Lower CT River,
clinton,Town,1838,16.28,"13,260",Town meeting,Middlesex County,Lower CT River,
colchester,Town,1698,49.06,"16,068",Town meeting,New London County,South Centraleastern CT,
colebrook,Town,1779,31.47,"1,485",Town meeting,Litchfield County,Northwest Hills,
columbia,Town,1804,21.36,"5,485",Town meeting,Tolland County,Capitol Region,
cornwall,Town,1740,46.01,"1,420",Town meeting,Litchfield County,Northwest Hills,
coventry,Town,1712,37.72,"12,435",Council-manager,Tolland County,Capitol Region,
cromwell,Town,1851,12.39,"14,005",Town meeting,Middlesex County,Lower CT River,
danbury,City,1687,42.11,"80,893",Mayor-council,Fairfield County,Western CT,Pahquioque
darien,Town,1820,12.86,"20,732",Representative town meeting,Fairfield County,Western CT,
deep river,Town,1635,13.55,"4,629",Town meeting,Middlesex County,Lower CT River,Pattaquasset
derby,City,1675,4.98,"12,902",Mayor-council,New Haven County,Naugatuck Valley,Paugasset
durham,Town,1708,23.6,"7,388",Town meeting,Middlesex County,Lower CT River,Coginchaug
east granby,Town,1858,17.48,"5,148",Town meeting,Hartford County,Capitol Region,
east haddam,Town,1734,54.33,"9,126",Town meeting,Middlesex County,Lower CT River,Macki-moodus
east hampton,Town,1767,35.59,"12,959",Council-manager,Middlesex County,Lower CT River,
